question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,correct,explanation
133,single,管理受託契約,管理受託契約;標準契約書,賃貸住宅標準管理受託契約書に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",標準契約書を利用する場合でも、個々の状況に応じた加除修正を検討する必要がある。,標準契約書は、管理受託契約の内容を整理する参考資料となる。,標準契約書を利用すれば、個々の物件の状況を確認する必要は一切ない。,標準契約書は、賃貸住宅に共通する管理事務に関する標準的な契約内容を示すものである。,3,標準契約書は有用なひな形ですが、実際の契約では個々の物件や委託内容に応じた確認が必要です。
134,single,管理受託契約,管理受託契約;標準契約書,賃貸住宅標準管理受託契約書に関する次の記述のうち、正しいものはどれか。,"","","","","",標準契約書は、売買契約だけを対象とする書式である。,標準契約書には、管理受託契約に関する事項は一切含まれていない。,標準契約書は、管理受託契約の内容を整理する参考資料となる。,標準契約書は、どの物件でも一字一句変更せず使用することが法律上強制されている。,3,標準契約書は有用なひな形ですが、実際の契約では個々の物件や委託内容に応じた確認が必要です。
135,single,管理受託契約,管理受託契約;標準契約書,賃貸住宅標準管理受託契約書に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",標準契約書は、賃貸住宅に共通する管理事務に関する標準的な契約内容を示すものである。,標準契約書には、管理受託契約に関する事項は一切含まれていない。,賃貸住宅標準管理受託契約書は、標準的な契約内容を示すひな形として利用される。,標準契約書を利用する場合でも、個々の状況に応じた加除修正を検討する必要がある。,2,標準契約書は有用なひな形ですが、実際の契約では個々の物件や委託内容に応じた確認が必要です。
136,single,管理受託契約,管理受託契約;報酬,管理報酬に関する次の記述のうち、正しいものはどれか。,"","","","","",管理報酬の額は、管理受託契約で明確にすべき事項である。,管理報酬は、契約締結後に管理業者が一方的に決めれば常に足りる。,報酬の支払時期は、委託者の判断に関係しないため定める必要がない。,報酬に含まれる業務範囲は、曖昧にすることが常に望ましい。,1,管理報酬の額、支払時期、算定方法、報酬に含まれる業務範囲は明確にする必要があります。
137,single,管理受託契約,管理受託契約;報酬,管理報酬に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",報酬の支払時期や支払方法は、委託者にとって重要な契約条件である。,報酬に含まれる業務範囲を明確にすることは、追加費用をめぐる紛争防止に役立つ。,報酬の支払時期は、委託者の判断に関係しないため定める必要がない。,報酬の算定方法が割合方式か定額方式かを明らかにしておくことは実務上重要である。,3,管理報酬の額、支払時期、算定方法、報酬に含まれる業務範囲は明確にする必要があります。
138,single,管理受託契約,管理受託契約;報酬,管理報酬に関する次の記述のうち、正しいものはどれか。,"","","","","",報酬に含まれる業務範囲は、曖昧にすることが常に望ましい。,報酬の算定方法は、契約書に記載することが禁止されている。,報酬に含まれる業務範囲を明確にすることは、追加費用をめぐる紛争防止に役立つ。,管理報酬は、契約締結後に管理業者が一方的に決めれば常に足りる。,3,管理報酬の額、支払時期、算定方法、報酬に含まれる業務範囲は明確にする必要があります。
139,single,管理受託契約,管理受託契約;報酬,管理報酬に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",報酬の算定方法が割合方式か定額方式かを明らかにしておくことは実務上重要である。,報酬の算定方法は、契約書に記載することが禁止されている。,管理報酬の額は、管理受託契約で明確にすべき事項である。,報酬の支払時期や支払方法は、委託者にとって重要な契約条件である。,2,管理報酬の額、支払時期、算定方法、報酬に含まれる業務範囲は明確にする必要があります。
140,single,管理受託契約,管理受託契約;費用負担,費用負担に関する次の記述のうち、正しいものはどれか。,"","","","","",管理報酬に含まれない費用がある場合、その内容を契約上明確にすることが重要である。,管理報酬に含まれない費用は、委託者に説明せず自由に請求してよい。,修繕費の負担者は、契約上確認する必要が全くない。,緊急対応費用は、どのような場合でも管理業者が無償で負担しなければならない。,1,報酬に含まれない費用や修繕費などの負担者を明確にすることが大切です。
141,single,管理受託契約,管理受託契約;費用負担,費用負担に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",修繕費や点検費などの負担者を確認しておくことは、管理実務上重要である。,緊急対応に要した費用の扱いは、契約で定めておくことが望ましい。,修繕費の負担者は、契約上確認する必要が全くない。,費用負担の範囲を明確にすることは、委託者との認識違いを防ぐ。,3,報酬に含まれない費用や修繕費などの負担者を明確にすることが大切です。
142,single,管理受託契約,管理受託契約;費用負担,費用負担に関する次の記述のうち、正しいものはどれか。,"","","","","",緊急対応費用は、どのような場合でも管理業者が無償で負担しなければならない。,費用負担を曖昧にすることが、常に紛争予防になる。,緊急対応に要した費用の扱いは、契約で定めておくことが望ましい。,管理報酬に含まれない費用は、委託者に説明せず自由に請求してよい。,3,報酬に含まれない費用や修繕費などの負担者を明確にすることが大切です。
143,single,管理受託契約,管理受託契約;費用負担,費用負担に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",費用負担の範囲を明確にすることは、委託者との認識違いを防ぐ。,費用負担を曖昧にすることが、常に紛争予防になる。,管理報酬に含まれない費用がある場合、その内容を契約上明確にすることが重要である。,修繕費や点検費などの負担者を確認しておくことは、管理実務上重要である。,2,報酬に含まれない費用や修繕費などの負担者を明確にすることが大切です。
144,single,管理受託契約,管理受託契約;契約期間,契約期間に関する次の記述のうち、正しいものはどれか。,"","","","","",管理受託契約では、契約期間を明確に定めることが重要である。,契約期間は、管理受託契約では一切定めてはならない。,契約期間の満了時の扱いは、常に管理業者が一方的に決める。,契約期間は、管理業務の継続性に全く影響しない。,1,契約期間や更新の扱いを定めることで、管理業務の継続や終了に関する見通しが立ちます。
145,single,管理受託契約,管理受託契約;契約期間,契約期間に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",契約期間の満了時に更新するかどうかのルールを定めておくことは実務上有用である。,契約期間は、管理業務の継続性や終了手続に影響する。,契約期間の満了時の扱いは、常に管理業者が一方的に決める。,契約期間を延長する場合、形式的変更か実質的変更かを確認することが重要である。,3,契約期間や更新の扱いを定めることで、管理業務の継続や終了に関する見通しが立ちます。
146,single,管理受託契約,管理受託契約;契約期間,契約期間に関する次の記述のうち、正しいものはどれか。,"","","","","",契約期間は、管理業務の継続性に全く影響しない。,契約期間を延長する場合、どのような内容でも契約内容の確認は不要である。,契約期間は、管理業務の継続性や終了手続に影響する。,契約期間は、管理受託契約では一切定めてはならない。,3,契約期間や更新の扱いを定めることで、管理業務の継続や終了に関する見通しが立ちます。
147,single,管理受託契約,管理受託契約;契約期間,契約期間に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",契約期間を延長する場合、形式的変更か実質的変更かを確認することが重要である。,契約期間を延長する場合、どのような内容でも契約内容の確認は不要である。,管理受託契約では、契約期間を明確に定めることが重要である。,契約期間の満了時に更新するかどうかのルールを定めておくことは実務上有用である。,2,契約期間や更新の扱いを定めることで、管理業務の継続や終了に関する見通しが立ちます。
148,single,管理受託契約,管理受託契約;更新,契約の更新に関する次の記述のうち、正しいものはどれか。,"","","","","",更新の方法や更新拒絶の手続を定めておくことは、契約管理上重要である。,更新方法は、契約書に定めることが法律上禁止されている。,自動更新条項は、委託者に説明しなくても常に有効に機能する。,更新時に報酬や業務内容を変更しても、変更内容の確認は一切不要である。,1,更新方法、更新後の契約期間、報酬や業務内容の変更有無を明確にしておくことが重要です。
149,single,管理受託契約,管理受託契約;更新,契約の更新に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",自動更新条項を置く場合、その内容を委託者が理解していることが重要である。,更新時に重要事項が変更される場合、変更内容について説明が問題となる。,自動更新条項は、委託者に説明しなくても常に有効に機能する。,更新後の契約期間や報酬条件を確認しておくことは実務上重要である。,3,更新方法、更新後の契約期間、報酬や業務内容の変更有無を明確にしておくことが重要です。
150,single,管理受託契約,管理受託契約;更新,契約の更新に関する次の記述のうち、正しいものはどれか。,"","","","","",更新時に報酬や業務内容を変更しても、変更内容の確認は一切不要である。,更新後の契約期間は、管理業者が秘密にしてよい事項である。,更新時に重要事項が変更される場合、変更内容について説明が問題となる。,更新方法は、契約書に定めることが法律上禁止されている。,3,更新方法、更新後の契約期間、報酬や業務内容の変更有無を明確にしておくことが重要です。
151,single,管理受託契約,管理受託契約;更新,契約の更新に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",更新後の契約期間や報酬条件を確認しておくことは実務上重要である。,更新後の契約期間は、管理業者が秘密にしてよい事項である。,更新の方法や更新拒絶の手続を定めておくことは、契約管理上重要である。,自動更新条項を置く場合、その内容を委託者が理解していることが重要である。,2,更新方法、更新後の契約期間、報酬や業務内容の変更有無を明確にしておくことが重要です。
152,single,管理受託契約,管理受託契約;解除,契約の解除に関する次の記述のうち、正しいものはどれか。,"","","","","",管理受託契約では、解除の条件や手続を明確にしておくことが重要である。,解除条件は、契約締結後に管理業者だけが自由に決めればよい。,解除通知の期限や方法を定めることは、契約上禁止されている。,管理業者が業務を全く行わなくても、解除原因となる余地はない。,1,解除条件や手続、解除時の引継ぎ・精算を定めることで、契約終了時の混乱を防ぎやすくなります。
153,single,管理受託契約,管理受託契約;解除,契約の解除に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",解除通知の期限や方法を定めることは、急な管理空白を防ぐ上で有用である。,管理業者の債務不履行がある場合、解除原因となり得る。,解除通知の期限や方法を定めることは、契約上禁止されている。,解除時には、引継ぎや預り金の精算など実務上の対応が必要となる。,3,解除条件や手続、解除時の引継ぎ・精算を定めることで、契約終了時の混乱を防ぎやすくなります。
154,single,管理受託契約,管理受託契約;解除,契約の解除に関する次の記述のうち、正しいものはどれか。,"","","","","",管理業者が業務を全く行わなくても、解除原因となる余地はない。,解除時には、引継ぎや精算を一切行ってはならない。,管理業者の債務不履行がある場合、解除原因となり得る。,解除条件は、契約締結後に管理業者だけが自由に決めればよい。,3,解除条件や手続、解除時の引継ぎ・精算を定めることで、契約終了時の混乱を防ぎやすくなります。
155,single,管理受託契約,管理受託契約;解除,契約の解除に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",解除時には、引継ぎや預り金の精算など実務上の対応が必要となる。,解除時には、引継ぎや精算を一切行ってはならない。,管理受託契約では、解除の条件や手続を明確にしておくことが重要である。,解除通知の期限や方法を定めることは、急な管理空白を防ぐ上で有用である。,2,解除条件や手続、解除時の引継ぎ・精算を定めることで、契約終了時の混乱を防ぎやすくなります。
156,single,管理受託契約,管理受託契約;再委託,再委託に関する次の記述のうち、正しいものはどれか。,"","","","","",管理業務の一部を再委託する場合、その範囲や再委託先の管理が重要となる。,管理業務の全部を再委託しても、管理業者は常に何の責任も負わない。,再委託の範囲は、委託者に一切知らせず無制限に広げてよい。,一部再委託を行う場合、再委託先の業務状況を確認する必要は全くない。,1,再委託では、全部再委託の禁止、一部再委託の範囲、再委託先の管理が重要です。
157,single,管理受託契約,管理受託契約;再委託,再委託に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",管理業務の全部を再委託することは、賃貸住宅管理業法上問題となる。,再委託を予定する業務がある場合、委託者に分かるよう契約内容を整理することが重要である。,再委託の範囲は、委託者に一切知らせず無制限に広げてよい。,再委託先に任せる場合でも、管理業者は委託者との関係で責任を意識する必要がある。,3,再委託では、全部再委託の禁止、一部再委託の範囲、再委託先の管理が重要です。
158,single,管理受託契約,管理受託契約;再委託,再委託に関する次の記述のうち、正しいものはどれか。,"","","","","",一部再委託を行う場合、再委託先の業務状況を確認する必要は全くない。,再委託を予定する業務は、契約内容として整理してはならない。,再委託を予定する業務がある場合、委託者に分かるよう契約内容を整理することが重要である。,管理業務の全部を再委託しても、管理業者は常に何の責任も負わない。,3,再委託では、全部再委託の禁止、一部再委託の範囲、再委託先の管理が重要です。
159,single,管理受託契約,管理受託契約;再委託,再委託に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",再委託先に任せる場合でも、管理業者は委託者との関係で責任を意識する必要がある。,再委託を予定する業務は、契約内容として整理してはならない。,管理業務の一部を再委託する場合、その範囲や再委託先の管理が重要となる。,管理業務の全部を再委託することは、賃貸住宅管理業法上問題となる。,2,再委託では、全部再委託の禁止、一部再委託の範囲、再委託先の管理が重要です。
160,single,管理受託契約,管理受託契約;定期報告,定期報告に関する次の記述のうち、正しいものはどれか。,"","","","","",管理業者は、業務の実施状況等について委託者に定期的に報告することが求められる。,定期報告は、入居者にだけ行えば委託者に対しては常に不要である。,報告の時期や方法は、契約で定めてはならない。,委託者は管理業務の状況を把握する必要がないため、報告は常に無意味である。,1,定期報告は、委託者が管理業務の状況を把握するために重要であり、報告方法や内容を整理しておくべきです。
161,single,管理受託契約,管理受託契約;定期報告,定期報告に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",報告の時期や方法を契約で定めておくことは実務上有用である。,定期報告は、委託者が管理業務の状況を把握するために重要である。,報告の時期や方法は、契約で定めてはならない。,点検結果や修繕状況など、委託業務に応じた報告内容を整理することが望ましい。,3,定期報告は、委託者が管理業務の状況を把握するために重要であり、報告方法や内容を整理しておくべきです。
162,single,管理受託契約,管理受託契約;定期報告,定期報告に関する次の記述のうち、正しいものはどれか。,"","","","","",委託者は管理業務の状況を把握する必要がないため、報告は常に無意味である。,点検結果や修繕状況は、委託者に知らせることが法律上禁止されている。,定期報告は、委託者が管理業務の状況を把握するために重要である。,定期報告は、入居者にだけ行えば委託者に対しては常に不要である。,3,定期報告は、委託者が管理業務の状況を把握するために重要であり、報告方法や内容を整理しておくべきです。
163,single,管理受託契約,管理受託契約;定期報告,定期報告に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",点検結果や修繕状況など、委託業務に応じた報告内容を整理することが望ましい。,点検結果や修繕状況は、委託者に知らせることが法律上禁止されている。,管理業者は、業務の実施状況等について委託者に定期的に報告することが求められる。,報告の時期や方法を契約で定めておくことは実務上有用である。,2,定期報告は、委託者が管理業務の状況を把握するために重要であり、報告方法や内容を整理しておくべきです。
164,single,管理受託契約,管理受託契約;入居者対応,入居者対応業務に関する次の記述のうち、正しいものはどれか。,"","","","","",入居者からの苦情や問い合わせへの対応を委託する場合、その範囲を明確にすることが重要である。,入居者対応の範囲は、契約で定めることが禁止されている。,夜間・休日対応は、契約内容にかかわらず常に無償で行わなければならない。,入居者対応の記録は、どのような場合でも残してはならない。,1,入居者対応を委託する場合は、受付範囲、時間帯、記録、緊急対応の方法を明確にすることが重要です。
165,single,管理受託契約,管理受託契約;入居者対応,入居者対応業務に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",夜間・休日対応を行うかどうかは、契約で確認しておくべき事項である。,入居者対応の記録を残すことは、後日の確認や紛争予防に役立つ。,夜間・休日対応は、契約内容にかかわらず常に無償で行わなければならない。,緊急性の高い連絡への対応方法を定めておくことは、管理実務上重要である。,3,入居者対応を委託する場合は、受付範囲、時間帯、記録、緊急対応の方法を明確にすることが重要です。
166,single,管理受託契約,管理受託契約;入居者対応,入居者対応業務に関する次の記述のうち、正しいものはどれか。,"","","","","",入居者対応の記録は、どのような場合でも残してはならない。,緊急連絡への対応方法は、事前に決める必要が全くない。,入居者対応の記録を残すことは、後日の確認や紛争予防に役立つ。,入居者対応の範囲は、契約で定めることが禁止されている。,3,入居者対応を委託する場合は、受付範囲、時間帯、記録、緊急対応の方法を明確にすることが重要です。
167,single,管理受託契約,管理受託契約;入居者対応,入居者対応業務に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",緊急性の高い連絡への対応方法を定めておくことは、管理実務上重要である。,緊急連絡への対応方法は、事前に決める必要が全くない。,入居者からの苦情や問い合わせへの対応を委託する場合、その範囲を明確にすることが重要である。,夜間・休日対応を行うかどうかは、契約で確認しておくべき事項である。,2,入居者対応を委託する場合は、受付範囲、時間帯、記録、緊急対応の方法を明確にすることが重要です。
168,single,管理受託契約,管理受託契約;修繕手配,修繕手配に関する次の記述のうち、正しいものはどれか。,"","","","","",修繕手配を管理業務に含める場合、管理業者の権限範囲を明確にする必要がある。,修繕手配を委託していなくても、管理業者は常にすべての修繕を無償で行う。,修繕金額にかかわらず、委託者の承諾を要する旨を定めることはできない。,緊急修繕の対応方法は、事前に定めることが法律上禁止されている。,1,修繕手配では、管理業者の権限、承諾の要否、緊急時対応、費用負担を明確にしておく必要があります。
169,single,管理受託契約,管理受託契約;修繕手配,修繕手配に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",一定金額を超える修繕について、委託者の承諾を要する旨を定めることがある。,緊急修繕では、事前承諾が困難な場合の対応方法を定めておくことが有用である。,修繕金額にかかわらず、委託者の承諾を要する旨を定めることはできない。,修繕費用の負担者や精算方法は、契約上確認すべき事項である。,3,修繕手配では、管理業者の権限、承諾の要否、緊急時対応、費用負担を明確にしておく必要があります。
170,single,管理受託契約,管理受託契約;修繕手配,修繕手配に関する次の記述のうち、正しいものはどれか。,"","","","","",緊急修繕の対応方法は、事前に定めることが法律上禁止されている。,修繕費用の負担者は、契約上確認する必要が全くない。,緊急修繕では、事前承諾が困難な場合の対応方法を定めておくことが有用である。,修繕手配を委託していなくても、管理業者は常にすべての修繕を無償で行う。,3,修繕手配では、管理業者の権限、承諾の要否、緊急時対応、費用負担を明確にしておく必要があります。
171,single,管理受託契約,管理受託契約;修繕手配,修繕手配に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",修繕費用の負担者や精算方法は、契約上確認すべき事項である。,修繕費用の負担者は、契約上確認する必要が全くない。,修繕手配を管理業務に含める場合、管理業者の権限範囲を明確にする必要がある。,一定金額を超える修繕について、委託者の承諾を要する旨を定めることがある。,2,修繕手配では、管理業者の権限、承諾の要否、緊急時対応、費用負担を明確にしておく必要があります。
172,single,管理受託契約,管理受託契約;点検,点検業務に関する次の記述のうち、正しいものはどれか。,"","","","","",建物や設備の点検を委託する場合、点検の対象や頻度を定めることが重要である。,点検対象や頻度は、契約では一切定めてはならない。,点検結果は、委託者に報告することが常に禁止されている。,法令上必要な点検があっても、管理受託契約では全く考慮する必要がない。,1,点検業務では、対象、頻度、報告方法、法定点検への対応を明確にすることが重要です。
173,single,管理受託契約,管理受託契約;点検,点検業務に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",点検結果を委託者に報告する方法を定めておくことは実務上有用である。,法令上必要な点検がある場合、その実施主体や手配方法を確認する必要がある。,点検結果は、委託者に報告することが常に禁止されている。,点検業務の範囲を明確にすることは、事故や故障時の責任範囲の確認に役立つ。,3,点検業務では、対象、頻度、報告方法、法定点検への対応を明確にすることが重要です。
174,single,管理受託契約,管理受託契約;点検,点検業務に関する次の記述のうち、正しいものはどれか。,"","","","","",法令上必要な点検があっても、管理受託契約では全く考慮する必要がない。,点検業務の範囲は、曖昧であるほど責任関係が明確になる。,法令上必要な点検がある場合、その実施主体や手配方法を確認する必要がある。,点検対象や頻度は、契約では一切定めてはならない。,3,点検業務では、対象、頻度、報告方法、法定点検への対応を明確にすることが重要です。
175,single,管理受託契約,管理受託契約;点検,点検業務に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",点検業務の範囲を明確にすることは、事故や故障時の責任範囲の確認に役立つ。,点検業務の範囲は、曖昧であるほど責任関係が明確になる。,建物や設備の点検を委託する場合、点検の対象や頻度を定めることが重要である。,点検結果を委託者に報告する方法を定めておくことは実務上有用である。,2,点検業務では、対象、頻度、報告方法、法定点検への対応を明確にすることが重要です。
176,single,管理受託契約,管理受託契約;鍵管理,鍵の管理に関する次の記述のうち、正しいものはどれか。,"","","","","",鍵を管理業者が預かる場合、保管方法や使用目的を明確にすることが重要である。,鍵を預かる場合でも、保管方法を決める必要は一切ない。,鍵の使用記録は、残すことが法律上禁止されている。,入居中の住戸の鍵は、管理業者がいつでも自由に使用してよい。,1,鍵管理では、保管方法、使用記録、入居者への配慮、紛失時の対応を明確にする必要があります。
177,single,管理受託契約,管理受託契約;鍵管理,鍵の管理に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",鍵の使用記録を残すことは、不正使用や紛失時の確認に役立つ。,入居中の住戸の鍵を使用する場合、入居者の権利利益に配慮する必要がある。,鍵の使用記録は、残すことが法律上禁止されている。,鍵の紛失時の報告や交換費用の扱いを定めておくことは実務上有用である。,3,鍵管理では、保管方法、使用記録、入居者への配慮、紛失時の対応を明確にする必要があります。
178,single,管理受託契約,管理受託契約;鍵管理,鍵の管理に関する次の記述のうち、正しいものはどれか。,"","","","","",入居中の住戸の鍵は、管理業者がいつでも自由に使用してよい。,鍵の紛失時には、委託者や入居者に知らせず放置することが望ましい。,入居中の住戸の鍵を使用する場合、入居者の権利利益に配慮する必要がある。,鍵を預かる場合でも、保管方法を決める必要は一切ない。,3,鍵管理では、保管方法、使用記録、入居者への配慮、紛失時の対応を明確にする必要があります。
179,single,管理受託契約,管理受託契約;鍵管理,鍵の管理に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",鍵の紛失時の報告や交換費用の扱いを定めておくことは実務上有用である。,鍵の紛失時には、委託者や入居者に知らせず放置することが望ましい。,鍵を管理業者が預かる場合、保管方法や使用目的を明確にすることが重要である。,鍵の使用記録を残すことは、不正使用や紛失時の確認に役立つ。,2,鍵管理では、保管方法、使用記録、入居者への配慮、紛失時の対応を明確にする必要があります。
180,single,管理受託契約,管理受託契約;個人情報,個人情報の取扱いに関する次の記述のうち、正しいものはどれか。,"","","","","",入居者情報を取り扱う場合、個人情報の管理方法に注意する必要がある。,入居者情報は、管理業者が自由に第三者へ販売してよい。,管理業務に無関係な目的で個人情報を利用しても常に問題ない。,再委託先に個人情報を渡した後は、管理業者は管理状況を一切気にしなくてよい。,1,管理受託契約では、入居者情報など個人情報の利用範囲、保管、再委託先管理に注意が必要です。
181,single,管理受託契約,管理受託契約;個人情報,個人情報の取扱いに関する次の記述のうち、最も不適切なものはどれか。,"","","","","",管理業務に必要な範囲を超えて個人情報を利用しないよう配慮する必要がある。,再委託先に個人情報を取り扱わせる場合、適切な管理が必要となる。,管理業務に無関係な目的で個人情報を利用しても常に問題ない。,個人情報の漏えいを防ぐため、保管方法やアクセス権限を整理することが重要である。,3,管理受託契約では、入居者情報など個人情報の利用範囲、保管、再委託先管理に注意が必要です。
182,single,管理受託契約,管理受託契約;個人情報,個人情報の取扱いに関する次の記述のうち、正しいものはどれか。,"","","","","",再委託先に個人情報を渡した後は、管理業者は管理状況を一切気にしなくてよい。,個人情報の保管方法を定めることは、管理受託契約では禁止されている。,再委託先に個人情報を取り扱わせる場合、適切な管理が必要となる。,入居者情報は、管理業者が自由に第三者へ販売してよい。,3,管理受託契約では、入居者情報など個人情報の利用範囲、保管、再委託先管理に注意が必要です。
183,single,管理受託契約,管理受託契約;個人情報,個人情報の取扱いに関する次の記述のうち、最も不適切なものはどれか。,"","","","","",個人情報の漏えいを防ぐため、保管方法やアクセス権限を整理することが重要である。,個人情報の保管方法を定めることは、管理受託契約では禁止されている。,入居者情報を取り扱う場合、個人情報の管理方法に注意する必要がある。,管理業務に必要な範囲を超えて個人情報を利用しないよう配慮する必要がある。,2,管理受託契約では、入居者情報など個人情報の利用範囲、保管、再委託先管理に注意が必要です。
184,single,管理受託契約,管理受託契約;金銭管理,金銭管理業務に関する次の記述のうち、正しいものはどれか。,"","","","","",家賃等の収納を委託する場合、収納方法や送金時期を明確にすることが重要である。,家賃収納を委託する場合でも、送金時期を決める必要は一切ない。,敷金や共益費は、管理業者の売上として自由に使ってよい。,預り金の精算方法は、契約終了時にも確認してはならない。,1,金銭管理では、収納方法、送金時期、預り金の精算、分別管理を明確にすることが重要です。
185,single,管理受託契約,管理受託契約;金銭管理,金銭管理業務に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",敷金や共益費を管理する場合、それぞれの金銭の性質に応じた管理が必要となる。,預り金の精算方法を定めておくことは、契約終了時の混乱防止に役立つ。,敷金や共益費は、管理業者の売上として自由に使ってよい。,管理業者の固有財産と委託者に帰属すべき金銭を分別することが重要である。,3,金銭管理では、収納方法、送金時期、預り金の精算、分別管理を明確にすることが重要です。
186,single,管理受託契約,管理受託契約;金銭管理,金銭管理業務に関する次の記述のうち、正しいものはどれか。,"","","","","",預り金の精算方法は、契約終了時にも確認してはならない。,委託者に帰属すべき金銭は、管理業者の固有財産と混同して管理することが常に望ましい。,預り金の精算方法を定めておくことは、契約終了時の混乱防止に役立つ。,家賃収納を委託する場合でも、送金時期を決める必要は一切ない。,3,金銭管理では、収納方法、送金時期、預り金の精算、分別管理を明確にすることが重要です。
187,single,管理受託契約,管理受託契約;金銭管理,金銭管理業務に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",管理業者の固有財産と委託者に帰属すべき金銭を分別することが重要である。,委託者に帰属すべき金銭は、管理業者の固有財産と混同して管理することが常に望ましい。,家賃等の収納を委託する場合、収納方法や送金時期を明確にすることが重要である。,敷金や共益費を管理する場合、それぞれの金銭の性質に応じた管理が必要となる。,2,金銭管理では、収納方法、送金時期、預り金の精算、分別管理を明確にすることが重要です。
188,single,管理受託契約,管理受託契約;督促,賃料滞納時の督促に関する次の記述のうち、正しいものはどれか。,"","","","","",賃料滞納時の督促業務を委託する場合、督促方法や範囲を明確にする必要がある。,督促業務を委託した場合、管理業者はどのような方法でも自由に回収してよい。,法的手続への移行は、委託者に知らせず管理業者が常に単独で決める。,滞納状況は、委託者に報告してはならない。,1,滞納督促では、督促範囲、報告方法、法的手続への移行、相当な対応方法を明確にする必要があります。
189,single,管理受託契約,管理受託契約;督促,賃料滞納時の督促に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",法的手続に移行するかどうかは、委託者の判断を要する事項として整理されることが多い。,滞納状況を委託者へ報告する方法を定めておくことは重要である。,法的手続への移行は、委託者に知らせず管理業者が常に単独で決める。,督促にあたっては、入居者の生活や法令上の制限にも配慮する必要がある。,3,滞納督促では、督促範囲、報告方法、法的手続への移行、相当な対応方法を明確にする必要があります。
190,single,管理受託契約,管理受託契約;督促,賃料滞納時の督促に関する次の記述のうち、正しいものはどれか。,"","","","","",滞納状況は、委託者に報告してはならない。,督促では、法令上の制限や社会的相当性を一切考慮しなくてよい。,滞納状況を委託者へ報告する方法を定めておくことは重要である。,督促業務を委託した場合、管理業者はどのような方法でも自由に回収してよい。,3,滞納督促では、督促範囲、報告方法、法的手続への移行、相当な対応方法を明確にする必要があります。
191,single,管理受託契約,管理受託契約;督促,賃料滞納時の督促に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",督促にあたっては、入居者の生活や法令上の制限にも配慮する必要がある。,督促では、法令上の制限や社会的相当性を一切考慮しなくてよい。,賃料滞納時の督促業務を委託する場合、督促方法や範囲を明確にする必要がある。,法的手続に移行するかどうかは、委託者の判断を要する事項として整理されることが多い。,2,滞納督促では、督促範囲、報告方法、法的手続への移行、相当な対応方法を明確にする必要があります。
192,single,管理受託契約,管理受託契約;原状回復,原状回復関連業務に関する次の記述のうち、正しいものはどれか。,"","","","","",退去時の立会いや原状回復費用の精算補助を委託する場合、その業務範囲を明確にする必要がある。,退去立会いを委託していなくても、管理業者は常に無償で精算責任を負う。,原状回復費用は、入居者の負担とする内容を管理業者が自由に決めてよい。,原状回復ガイドラインの考え方は、賃貸管理実務では全く参考にならない。,1,原状回復関連業務では、退去立会い、費用精算、見積り、報告方法を明確にすることが重要です。
193,single,管理受託契約,管理受託契約;原状回復,原状回復関連業務に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",原状回復費用をめぐる入居者との調整方法を定めておくことは実務上有用である。,国土交通省の原状回復ガイドラインの考え方を踏まえることは、紛争予防に役立つ。,原状回復費用は、入居者の負担とする内容を管理業者が自由に決めてよい。,修繕見積りの取得や委託者への報告方法を契約で整理することが望ましい。,3,原状回復関連業務では、退去立会い、費用精算、見積り、報告方法を明確にすることが重要です。
